"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week"
"11914",40890,"O'Hare Airport","03/14/2018","W",9997,2018-03-14,3,"Mar",2018,14,"Wednesday"
"11976",40890,"O'Hare Airport","01/06/2018","A",6790,2018-01-06,1,"Jan",2018,6,"Saturday"
"12020",40890,"O'Hare Airport","03/12/2018","W",10582,2018-03-12,3,"Mar",2018,12,"Monday"
"12275",40890,"O'Hare Airport","02/27/2018","W",9074,2018-02-27,2,"Feb",2018,27,"Tuesday"
"12318",40890,"O'Hare Airport","02/08/2018","W",10129,2018-02-08,2,"Feb",2018,8,"Thursday"
"12409",40890,"O'Hare Airport","01/28/2018","U",8122,2018-01-28,1,"Jan",2018,28,"Sunday"
"12531",40890,"O'Hare Airport","02/19/2018","W",10325,2018-02-19,2,"Feb",2018,19,"Monday"
"12583",40890,"O'Hare Airport","03/31/2018","A",7233,2018-03-31,3,"Mar",2018,31,"Saturday"
"12587",40890,"O'Hare Airport","02/03/2018","A",6994,2018-02-03,2,"Feb",2018,3,"Saturday"
"12664",40890,"O'Hare Airport","03/30/2018","W",10297,2018-03-30,3,"Mar",2018,30,"Friday"
"12775",40890,"O'Hare Airport","03/13/2018","W",9166,2018-03-13,3,"Mar",2018,13,"Tuesday"
"12837",40890,"O'Hare Airport","01/15/2018","W",7684,2018-01-15,1,"Jan",2018,15,"Monday"
"13298",40890,"O'Hare Airport","03/08/2018","W",10088,2018-03-08,3,"Mar",2018,8,"Thursday"
"13388",40890,"O'Hare Airport","03/27/2018","W",10602,2018-03-27,3,"Mar",2018,27,"Tuesday"
"13438",40890,"O'Hare Airport","01/02/2018","W",9835,2018-01-02,1,"Jan",2018,2,"Tuesday"
"13693",40890,"O'Hare Airport","03/29/2018","W",11930,2018-03-29,3,"Mar",2018,29,"Thursday"
"13980",40890,"O'Hare Airport","01/03/2018","W",9038,2018-01-03,1,"Jan",2018,3,"Wednesday"
"14067",40890,"O'Hare Airport","02/28/2018","W",8708,2018-02-28,2,"Feb",2018,28,"Wednesday"
"14072",40890,"O'Hare Airport","02/06/2018","W",8795,2018-02-06,2,"Feb",2018,6,"Tuesday"
"14165",40890,"O'Hare Airport","03/20/2018","W",9823,2018-03-20,3,"Mar",2018,20,"Tuesday"
"14470",40890,"O'Hare Airport","02/21/2018","W",9632,2018-02-21,2,"Feb",2018,21,"Wednesday"
"14524",40890,"O'Hare Airport","02/01/2018","W",8914,2018-02-01,2,"Feb",2018,1,"Thursday"
"14525",40890,"O'Hare Airport","03/10/2018","A",8328,2018-03-10,3,"Mar",2018,10,"Saturday"
"14597",40890,"O'Hare Airport","03/26/2018","W",11056,2018-03-26,3,"Mar",2018,26,"Monday"
"14631",40890,"O'Hare Airport","01/27/2018","A",7234,2018-01-27,1,"Jan",2018,27,"Saturday"
"14661",40890,"O'Hare Airport","03/17/2018","A",8859,2018-03-17,3,"Mar",2018,17,"Saturday"
"14666",40890,"O'Hare Airport","01/24/2018","W",8514,2018-01-24,1,"Jan",2018,24,"Wednesday"
"14888",40890,"O'Hare Airport","02/13/2018","W",8877,2018-02-13,2,"Feb",2018,13,"Tuesday"
"14958",40890,"O'Hare Airport","01/26/2018","W",10158,2018-01-26,1,"Jan",2018,26,"Friday"
"14973",40890,"O'Hare Airport","01/31/2018","W",8292,2018-01-31,1,"Jan",2018,31,"Wednesday"
"15084",40890,"O'Hare Airport","02/18/2018","U",8744,2018-02-18,2,"Feb",2018,18,"Sunday"
"15591",40890,"O'Hare Airport","01/23/2018","W",8749,2018-01-23,1,"Jan",2018,23,"Tuesday"
"15754",40890,"O'Hare Airport","01/10/2018","W",8923,2018-01-10,1,"Jan",2018,10,"Wednesday"
"15910",40890,"O'Hare Airport","01/29/2018","W",9483,2018-01-29,1,"Jan",2018,29,"Monday"
"15956",40890,"O'Hare Airport","01/13/2018","A",6421,2018-01-13,1,"Jan",2018,13,"Saturday"
"16065",40890,"O'Hare Airport","02/02/2018","W",9315,2018-02-02,2,"Feb",2018,2,"Friday"
"16157",40890,"O'Hare Airport","03/18/2018","U",9202,2018-03-18,3,"Mar",2018,18,"Sunday"
"16295",40890,"O'Hare Airport","01/21/2018","U",6741,2018-01-21,1,"Jan",2018,21,"Sunday"
"16304",40890,"O'Hare Airport","01/09/2018","W",8685,2018-01-09,1,"Jan",2018,9,"Tuesday"
"16636",40890,"O'Hare Airport","02/15/2018","W",10019,2018-02-15,2,"Feb",2018,15,"Thursday"
"16727",40890,"O'Hare Airport","02/11/2018","U",8159,2018-02-11,2,"Feb",2018,11,"Sunday"
"16917",40890,"O'Hare Airport","03/25/2018","U",10450,2018-03-25,3,"Mar",2018,25,"Sunday"
"16967",40890,"O'Hare Airport","02/05/2018","W",9604,2018-02-05,2,"Feb",2018,5,"Monday"
"17061",40890,"O'Hare Airport","01/17/2018","W",6762,2018-01-17,1,"Jan",2018,17,"Wednesday"
"17504",40890,"O'Hare Airport","01/20/2018","A",6382,2018-01-20,1,"Jan",2018,20,"Saturday"
"17657",40890,"O'Hare Airport","06/02/2018","A",9591,2018-06-02,6,"Jun",2018,2,"Saturday"
"17854",40890,"O'Hare Airport","04/29/2018","U",10743,2018-04-29,4,"Apr",2018,29,"Sunday"
"18000",40890,"O'Hare Airport","05/03/2018","W",11522,2018-05-03,5,"May",2018,3,"Thursday"
"18047",40890,"O'Hare Airport","05/22/2018","W",12230,2018-05-22,5,"May",2018,22,"Tuesday"
"18117",40890,"O'Hare Airport","04/13/2018","W",12541,2018-04-13,4,"Apr",2018,13,"Friday"
"18210",40890,"O'Hare Airport","04/10/2018","W",9615,2018-04-10,4,"Apr",2018,10,"Tuesday"
"18614",40890,"O'Hare Airport","06/26/2018","W",10379,2018-06-26,6,"Jun",2018,26,"Tuesday"
"18621",40890,"O'Hare Airport","06/10/2018","U",11186,2018-06-10,6,"Jun",2018,10,"Sunday"
"18839",40890,"O'Hare Airport","06/15/2018","W",13196,2018-06-15,6,"Jun",2018,15,"Friday"
"18970",40890,"O'Hare Airport","06/18/2018","W",11552,2018-06-18,6,"Jun",2018,18,"Monday"
"19189",40890,"O'Hare Airport","04/19/2018","W",11526,2018-04-19,4,"Apr",2018,19,"Thursday"
"19224",40890,"O'Hare Airport","04/03/2018","W",9722,2018-04-03,4,"Apr",2018,3,"Tuesday"
"19349",40890,"O'Hare Airport","06/01/2018","W",13254,2018-06-01,6,"Jun",2018,1,"Friday"
"19543",40890,"O'Hare Airport","04/25/2018","W",10580,2018-04-25,4,"Apr",2018,25,"Wednesday"
"19599",40890,"O'Hare Airport","06/19/2018","W",11218,2018-06-19,6,"Jun",2018,19,"Tuesday"
"19656",40890,"O'Hare Airport","04/02/2018","W",10453,2018-04-02,4,"Apr",2018,2,"Monday"
"20065",40890,"O'Hare Airport","05/19/2018","A",9938,2018-05-19,5,"May",2018,19,"Saturday"
"20226",40890,"O'Hare Airport","05/01/2018","W",10199,2018-05-01,5,"May",2018,1,"Tuesday"
"20480",40890,"O'Hare Airport","04/27/2018","W",12837,2018-04-27,4,"Apr",2018,27,"Friday"
"20593",40890,"O'Hare Airport","04/14/2018","A",8719,2018-04-14,4,"Apr",2018,14,"Saturday"
"20667",40890,"O'Hare Airport","05/23/2018","W",12205,2018-05-23,5,"May",2018,23,"Wednesday"
"20801",40890,"O'Hare Airport","05/11/2018","W",12947,2018-05-11,5,"May",2018,11,"Friday"
"20882",40890,"O'Hare Airport","06/12/2018","W",11582,2018-06-12,6,"Jun",2018,12,"Tuesday"
"20953",40890,"O'Hare Airport","06/29/2018","W",14387,2018-06-29,6,"Jun",2018,29,"Friday"
"21065",40890,"O'Hare Airport","06/06/2018","W",12245,2018-06-06,6,"Jun",2018,6,"Wednesday"
"21143",40890,"O'Hare Airport","04/08/2018","U",8961,2018-04-08,4,"Apr",2018,8,"Sunday"
"22053",40890,"O'Hare Airport","04/09/2018","W",10397,2018-04-09,4,"Apr",2018,9,"Monday"
"22143",40890,"O'Hare Airport","06/13/2018","W",11666,2018-06-13,6,"Jun",2018,13,"Wednesday"
"22190",40890,"O'Hare Airport","04/26/2018","W",11881,2018-04-26,4,"Apr",2018,26,"Thursday"
"22236",40890,"O'Hare Airport","06/08/2018","W",14452,2018-06-08,6,"Jun",2018,8,"Friday"
"22258",40890,"O'Hare Airport","04/06/2018","W",10945,2018-04-06,4,"Apr",2018,6,"Friday"
"22405",40890,"O'Hare Airport","05/04/2018","W",12727,2018-05-04,5,"May",2018,4,"Friday"
"22543",40890,"O'Hare Airport","05/14/2018","W",11239,2018-05-14,5,"May",2018,14,"Monday"
"22554",40890,"O'Hare Airport","06/25/2018","W",12554,2018-06-25,6,"Jun",2018,25,"Monday"
"22684",40890,"O'Hare Airport","04/11/2018","W",10221,2018-04-11,4,"Apr",2018,11,"Wednesday"
"22919",40890,"O'Hare Airport","04/17/2018","W",10287,2018-04-17,4,"Apr",2018,17,"Tuesday"
"22962",40890,"O'Hare Airport","06/22/2018","W",13404,2018-06-22,6,"Jun",2018,22,"Friday"
"23393",40890,"O'Hare Airport","05/07/2018","W",12437,2018-05-07,5,"May",2018,7,"Monday"
"23589",40890,"O'Hare Airport","05/30/2018","W",10096,2018-05-30,5,"May",2018,30,"Wednesday"
"23657",40890,"O'Hare Airport","04/28/2018","A",9490,2018-04-28,4,"Apr",2018,28,"Saturday"
"23840",40890,"O'Hare Airport","06/03/2018","U",11299,2018-06-03,6,"Jun",2018,3,"Sunday"
"23902",40890,"O'Hare Airport","06/09/2018","A",10123,2018-06-09,6,"Jun",2018,9,"Saturday"
"23967",40890,"O'Hare Airport","04/30/2018","W",11995,2018-04-30,4,"Apr",2018,30,"Monday"
"24165",40890,"O'Hare Airport","05/25/2018","W",14486,2018-05-25,5,"May",2018,25,"Friday"
"24261",40890,"O'Hare Airport","05/29/2018","W",12318,2018-05-29,5,"May",2018,29,"Tuesday"
"24447",40890,"O'Hare Airport","06/28/2018","W",13427,2018-06-28,6,"Jun",2018,28,"Thursday"
"24617",40890,"O'Hare Airport","06/24/2018","U",11812,2018-06-24,6,"Jun",2018,24,"Sunday"
"24787",40890,"O'Hare Airport","05/12/2018","A",9557,2018-05-12,5,"May",2018,12,"Saturday"
"24864",40890,"O'Hare Airport","05/24/2018","W",13246,2018-05-24,5,"May",2018,24,"Thursday"
"25109",40890,"O'Hare Airport","05/28/2018","U",13242,2018-05-28,5,"May",2018,28,"Monday"
"25545",40890,"O'Hare Airport","05/02/2018","W",9138,2018-05-02,5,"May",2018,2,"Wednesday"
"25549",40890,"O'Hare Airport","04/07/2018","A",8073,2018-04-07,4,"Apr",2018,7,"Saturday"
"25581",40890,"O'Hare Airport","06/14/2018","W",12583,2018-06-14,6,"Jun",2018,14,"Thursday"
"26017",40890,"O'Hare Airport","04/15/2018","U",9336,2018-04-15,4,"Apr",2018,15,"Sunday"
"26108",40890,"O'Hare Airport","04/04/2018","W",10347,2018-04-04,4,"Apr",2018,4,"Wednesday"
"26127",40890,"O'Hare Airport","04/12/2018","W",11322,2018-04-12,4,"Apr",2018,12,"Thursday"
"26238",40890,"O'Hare Airport","06/04/2018","W",11867,2018-06-04,6,"Jun",2018,4,"Monday"
"26245",40890,"O'Hare Airport","04/20/2018","W",12285,2018-04-20,4,"Apr",2018,20,"Friday"
"26480",40890,"O'Hare Airport","05/05/2018","A",9393,2018-05-05,5,"May",2018,5,"Saturday"
"26682",40890,"O'Hare Airport","05/10/2018","W",13104,2018-05-10,5,"May",2018,10,"Thursday"
"26748",40890,"O'Hare Airport","06/17/2018","U",11537,2018-06-17,6,"Jun",2018,17,"Sunday"
"26750",40890,"O'Hare Airport","06/21/2018","W",11981,2018-06-21,6,"Jun",2018,21,"Thursday"
"26899",40890,"O'Hare Airport","06/30/2018","A",9859,2018-06-30,6,"Jun",2018,30,"Saturday"
"26957",40890,"O'Hare Airport","05/17/2018","W",12886,2018-05-17,5,"May",2018,17,"Thursday"
"27208",40890,"O'Hare Airport","05/20/2018","U",10914,2018-05-20,5,"May",2018,20,"Sunday"
"27285",40890,"O'Hare Airport","04/22/2018","U",10393,2018-04-22,4,"Apr",2018,22,"Sunday"
"27341",40890,"O'Hare Airport","06/05/2018","W",12002,2018-06-05,6,"Jun",2018,5,"Tuesday"
"27453",40890,"O'Hare Airport","05/09/2018","W",10522,2018-05-09,5,"May",2018,9,"Wednesday"
"27756",40890,"O'Hare Airport","06/07/2018","W",13857,2018-06-07,6,"Jun",2018,7,"Thursday"
"27902",40890,"O'Hare Airport","06/11/2018","W",12978,2018-06-11,6,"Jun",2018,11,"Monday"
"27984",40890,"O'Hare Airport","04/16/2018","W",10616,2018-04-16,4,"Apr",2018,16,"Monday"
"28211",40890,"O'Hare Airport","05/08/2018","W",11207,2018-05-08,5,"May",2018,8,"Tuesday"
"28278",40890,"O'Hare Airport","05/06/2018","U",10924,2018-05-06,5,"May",2018,6,"Sunday"
"28428",40890,"O'Hare Airport","05/26/2018","A",11585,2018-05-26,5,"May",2018,26,"Saturday"
"28508",40890,"O'Hare Airport","05/16/2018","W",11581,2018-05-16,5,"May",2018,16,"Wednesday"
"28573",40890,"O'Hare Airport","06/23/2018","A",10358,2018-06-23,6,"Jun",2018,23,"Saturday"
"28743",40890,"O'Hare Airport","04/23/2018","W",11328,2018-04-23,4,"Apr",2018,23,"Monday"
"28812",40890,"O'Hare Airport","05/18/2018","W",13898,2018-05-18,5,"May",2018,18,"Friday"
"28948",40890,"O'Hare Airport","04/01/2018","U",9382,2018-04-01,4,"Apr",2018,1,"Sunday"
"28985",40890,"O'Hare Airport","06/27/2018","W",12563,2018-06-27,6,"Jun",2018,27,"Wednesday"
"29010",40890,"O'Hare Airport","05/27/2018","U",9580,2018-05-27,5,"May",2018,27,"Sunday"
"29671",40890,"O'Hare Airport","04/05/2018","W",11084,2018-04-05,4,"Apr",2018,5,"Thursday"
"29755",40890,"O'Hare Airport","05/15/2018","W",12154,2018-05-15,5,"May",2018,15,"Tuesday"
"29822",40890,"O'Hare Airport","05/13/2018","U",11514,2018-05-13,5,"May",2018,13,"Sunday"
"29899",40890,"O'Hare Airport","05/21/2018","W",12303,2018-05-21,5,"May",2018,21,"Monday"
"29915",40890,"O'Hare Airport","06/16/2018","A",9831,2018-06-16,6,"Jun",2018,16,"Saturday"
"30134",40890,"O'Hare Airport","04/18/2018","W",10067,2018-04-18,4,"Apr",2018,18,"Wednesday"
"30198",40890,"O'Hare Airport","04/24/2018","W",10391,2018-04-24,4,"Apr",2018,24,"Tuesday"
"30329",40890,"O'Hare Airport","05/31/2018","W",12516,2018-05-31,5,"May",2018,31,"Thursday"
"30492",40890,"O'Hare Airport","06/20/2018","W",12786,2018-06-20,6,"Jun",2018,20,"Wednesday"
"30531",40890,"O'Hare Airport","04/21/2018","A",8650,2018-04-21,4,"Apr",2018,21,"Saturday"
"33172",40890,"O'Hare Airport","07/01/2018","U",9817,2018-07-01,7,"Jul",2018,1,"Sunday"
"33173",40890,"O'Hare Airport","07/02/2018","W",11769,2018-07-02,7,"Jul",2018,2,"Monday"
"33174",40890,"O'Hare Airport","07/03/2018","W",11178,2018-07-03,7,"Jul",2018,3,"Tuesday"
"33175",40890,"O'Hare Airport","07/04/2018","U",10597,2018-07-04,7,"Jul",2018,4,"Wednesday"
"33176",40890,"O'Hare Airport","07/05/2018","W",11408,2018-07-05,7,"Jul",2018,5,"Thursday"
"33177",40890,"O'Hare Airport","07/06/2018","W",12861,2018-07-06,7,"Jul",2018,6,"Friday"
"33178",40890,"O'Hare Airport","07/07/2018","A",10041,2018-07-07,7,"Jul",2018,7,"Saturday"
"33179",40890,"O'Hare Airport","07/08/2018","U",12604,2018-07-08,7,"Jul",2018,8,"Sunday"
"33180",40890,"O'Hare Airport","07/09/2018","W",12776,2018-07-09,7,"Jul",2018,9,"Monday"
"33181",40890,"O'Hare Airport","07/10/2018","W",11332,2018-07-10,7,"Jul",2018,10,"Tuesday"
"33182",40890,"O'Hare Airport","07/11/2018","W",12306,2018-07-11,7,"Jul",2018,11,"Wednesday"
"33183",40890,"O'Hare Airport","07/12/2018","W",13371,2018-07-12,7,"Jul",2018,12,"Thursday"
"33184",40890,"O'Hare Airport","07/13/2018","W",15008,2018-07-13,7,"Jul",2018,13,"Friday"
"33185",40890,"O'Hare Airport","07/14/2018","A",10332,2018-07-14,7,"Jul",2018,14,"Saturday"
"33186",40890,"O'Hare Airport","07/15/2018","U",12180,2018-07-15,7,"Jul",2018,15,"Sunday"
"33187",40890,"O'Hare Airport","07/16/2018","W",11811,2018-07-16,7,"Jul",2018,16,"Monday"
"33188",40890,"O'Hare Airport","07/17/2018","W",11375,2018-07-17,7,"Jul",2018,17,"Tuesday"
"33189",40890,"O'Hare Airport","07/18/2018","W",12589,2018-07-18,7,"Jul",2018,18,"Wednesday"
"33190",40890,"O'Hare Airport","07/19/2018","W",15141,2018-07-19,7,"Jul",2018,19,"Thursday"
"33191",40890,"O'Hare Airport","07/20/2018","W",15372,2018-07-20,7,"Jul",2018,20,"Friday"
"33192",40890,"O'Hare Airport","07/21/2018","A",10589,2018-07-21,7,"Jul",2018,21,"Saturday"
"33193",40890,"O'Hare Airport","07/22/2018","U",11636,2018-07-22,7,"Jul",2018,22,"Sunday"
"33194",40890,"O'Hare Airport","07/23/2018","W",12752,2018-07-23,7,"Jul",2018,23,"Monday"
"33195",40890,"O'Hare Airport","07/24/2018","W",12078,2018-07-24,7,"Jul",2018,24,"Tuesday"
"33196",40890,"O'Hare Airport","07/25/2018","W",11948,2018-07-25,7,"Jul",2018,25,"Wednesday"
"33197",40890,"O'Hare Airport","07/26/2018","W",13551,2018-07-26,7,"Jul",2018,26,"Thursday"
"33198",40890,"O'Hare Airport","07/27/2018","W",14128,2018-07-27,7,"Jul",2018,27,"Friday"
"33199",40890,"O'Hare Airport","07/28/2018","A",10353,2018-07-28,7,"Jul",2018,28,"Saturday"
"33200",40890,"O'Hare Airport","07/29/2018","U",11943,2018-07-29,7,"Jul",2018,29,"Sunday"
"33201",40890,"O'Hare Airport","07/30/2018","W",12585,2018-07-30,7,"Jul",2018,30,"Monday"
"33202",40890,"O'Hare Airport","07/31/2018","W",11747,2018-07-31,7,"Jul",2018,31,"Tuesday"
"37646",40890,"O'Hare Airport","08/01/2018","W",13193,2018-08-01,8,"Aug",2018,1,"Wednesday"
"37647",40890,"O'Hare Airport","08/02/2018","W",14426,2018-08-02,8,"Aug",2018,2,"Thursday"
"37648",40890,"O'Hare Airport","08/03/2018","W",14303,2018-08-03,8,"Aug",2018,3,"Friday"
"37649",40890,"O'Hare Airport","08/04/2018","A",10278,2018-08-04,8,"Aug",2018,4,"Saturday"
"37650",40890,"O'Hare Airport","08/05/2018","U",11601,2018-08-05,8,"Aug",2018,5,"Sunday"
"37651",40890,"O'Hare Airport","08/06/2018","W",12180,2018-08-06,8,"Aug",2018,6,"Monday"
"37652",40890,"O'Hare Airport","08/07/2018","W",10955,2018-08-07,8,"Aug",2018,7,"Tuesday"
"37653",40890,"O'Hare Airport","08/08/2018","W",12142,2018-08-08,8,"Aug",2018,8,"Wednesday"
"37654",40890,"O'Hare Airport","08/09/2018","W",14127,2018-08-09,8,"Aug",2018,9,"Thursday"
"37655",40890,"O'Hare Airport","08/10/2018","W",16095,2018-08-10,8,"Aug",2018,10,"Friday"
"37656",40890,"O'Hare Airport","08/11/2018","A",10294,2018-08-11,8,"Aug",2018,11,"Saturday"
