"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week"
"16520",40350,"UIC-Halsted","01/01/2018","U",657,2018-01-01,1,"Jan",2018,1,"Monday"
"17096",40350,"UIC-Halsted","01/06/2018","A",998,2018-01-06,1,"Jan",2018,6,"Saturday"
"17333",40350,"UIC-Halsted","02/16/2018","W",7284,2018-02-16,2,"Feb",2018,16,"Friday"
"17394",40350,"UIC-Halsted","02/06/2018","W",7290,2018-02-06,2,"Feb",2018,6,"Tuesday"
"17488",40350,"UIC-Halsted","01/11/2018","W",3024,2018-01-11,1,"Jan",2018,11,"Thursday"
"17599",40350,"UIC-Halsted","04/25/2018","W",7331,2018-04-25,4,"Apr",2018,25,"Wednesday"
"17888",40350,"UIC-Halsted","05/20/2018","U",1094,2018-05-20,5,"May",2018,20,"Sunday"
"18078",40350,"UIC-Halsted","06/04/2018","W",3195,2018-06-04,6,"Jun",2018,4,"Monday"
"18108",40350,"UIC-Halsted","04/11/2018","W",7308,2018-04-11,4,"Apr",2018,11,"Wednesday"
"18357",40350,"UIC-Halsted","04/12/2018","W",7150,2018-04-12,4,"Apr",2018,12,"Thursday"
"18377",40350,"UIC-Halsted","06/21/2018","W",3480,2018-06-21,6,"Jun",2018,21,"Thursday"
"18506",40350,"UIC-Halsted","05/18/2018","W",3089,2018-05-18,5,"May",2018,18,"Friday"
"18538",40350,"UIC-Halsted","04/24/2018","W",7052,2018-04-24,4,"Apr",2018,24,"Tuesday"
"18613",40350,"UIC-Halsted","04/06/2018","W",6692,2018-04-06,4,"Apr",2018,6,"Friday"
"18647",40350,"UIC-Halsted","06/27/2018","W",3990,2018-06-27,6,"Jun",2018,27,"Wednesday"
"18828",40350,"UIC-Halsted","06/08/2018","W",3605,2018-06-08,6,"Jun",2018,8,"Friday"
"18896",40350,"UIC-Halsted","04/04/2018","W",7153,2018-04-04,4,"Apr",2018,4,"Wednesday"
"19147",40350,"UIC-Halsted","06/20/2018","W",3986,2018-06-20,6,"Jun",2018,20,"Wednesday"
"19183",40350,"UIC-Halsted","06/11/2018","W",3310,2018-06-11,6,"Jun",2018,11,"Monday"
"19516",40350,"UIC-Halsted","04/14/2018","A",1999,2018-04-14,4,"Apr",2018,14,"Saturday"
"19563",40350,"UIC-Halsted","04/08/2018","U",1391,2018-04-08,4,"Apr",2018,8,"Sunday"
"19658",40350,"UIC-Halsted","04/16/2018","W",6789,2018-04-16,4,"Apr",2018,16,"Monday"
"20007",40350,"UIC-Halsted","06/15/2018","W",3401,2018-06-15,6,"Jun",2018,15,"Friday"
"20107",40350,"UIC-Halsted","06/22/2018","W",3429,2018-06-22,6,"Jun",2018,22,"Friday"
"20224",40350,"UIC-Halsted","06/09/2018","A",1837,2018-06-09,6,"Jun",2018,9,"Saturday"
"20594",40350,"UIC-Halsted","06/12/2018","W",3688,2018-06-12,6,"Jun",2018,12,"Tuesday"
"20848",40350,"UIC-Halsted","05/11/2018","W",5355,2018-05-11,5,"May",2018,11,"Friday"
"21042",40350,"UIC-Halsted","05/10/2018","W",5448,2018-05-10,5,"May",2018,10,"Thursday"
"21154",40350,"UIC-Halsted","05/29/2018","W",3224,2018-05-29,5,"May",2018,29,"Tuesday"
"21268",40350,"UIC-Halsted","06/02/2018","A",1499,2018-06-02,6,"Jun",2018,2,"Saturday"
"21337",40350,"UIC-Halsted","05/21/2018","W",3177,2018-05-21,5,"May",2018,21,"Monday"
"21395",40350,"UIC-Halsted","04/05/2018","W",6915,2018-04-05,4,"Apr",2018,5,"Thursday"
"21537",40350,"UIC-Halsted","04/26/2018","W",7155,2018-04-26,4,"Apr",2018,26,"Thursday"
"21562",40350,"UIC-Halsted","06/03/2018","U",1177,2018-06-03,6,"Jun",2018,3,"Sunday"
"21678",40350,"UIC-Halsted","06/19/2018","W",3849,2018-06-19,6,"Jun",2018,19,"Tuesday"
"21742",40350,"UIC-Halsted","04/19/2018","W",7158,2018-04-19,4,"Apr",2018,19,"Thursday"
"22174",40350,"UIC-Halsted","05/31/2018","W",3466,2018-05-31,5,"May",2018,31,"Thursday"
"22366",40350,"UIC-Halsted","04/22/2018","U",1398,2018-04-22,4,"Apr",2018,22,"Sunday"
"22393",40350,"UIC-Halsted","05/27/2018","U",1200,2018-05-27,5,"May",2018,27,"Sunday"
"22579",40350,"UIC-Halsted","06/14/2018","W",3670,2018-06-14,6,"Jun",2018,14,"Thursday"
"22763",40350,"UIC-Halsted","04/07/2018","A",2087,2018-04-07,4,"Apr",2018,7,"Saturday"
"23199",40350,"UIC-Halsted","06/24/2018","U",1414,2018-06-24,6,"Jun",2018,24,"Sunday"
"23292",40350,"UIC-Halsted","06/06/2018","W",3409,2018-06-06,6,"Jun",2018,6,"Wednesday"
"23351",40350,"UIC-Halsted","05/14/2018","W",3284,2018-05-14,5,"May",2018,14,"Monday"
"23451",40350,"UIC-Halsted","05/07/2018","W",5458,2018-05-07,5,"May",2018,7,"Monday"
"23760",40350,"UIC-Halsted","06/30/2018","A",1555,2018-06-30,6,"Jun",2018,30,"Saturday"
"23861",40350,"UIC-Halsted","04/20/2018","W",6814,2018-04-20,4,"Apr",2018,20,"Friday"
"23973",40350,"UIC-Halsted","04/15/2018","U",1224,2018-04-15,4,"Apr",2018,15,"Sunday"
"24038",40350,"UIC-Halsted","05/04/2018","W",6815,2018-05-04,5,"May",2018,4,"Friday"
"24070",40350,"UIC-Halsted","05/12/2018","A",1697,2018-05-12,5,"May",2018,12,"Saturday"
"24121",40350,"UIC-Halsted","04/21/2018","A",1945,2018-04-21,4,"Apr",2018,21,"Saturday"
"24176",40350,"UIC-Halsted","05/13/2018","U",1281,2018-05-13,5,"May",2018,13,"Sunday"
"24437",40350,"UIC-Halsted","06/07/2018","W",3484,2018-06-07,6,"Jun",2018,7,"Thursday"
"24506",40350,"UIC-Halsted","05/09/2018","W",5746,2018-05-09,5,"May",2018,9,"Wednesday"
"24544",40350,"UIC-Halsted","04/09/2018","W",6808,2018-04-09,4,"Apr",2018,9,"Monday"
"25012",40350,"UIC-Halsted","05/06/2018","U",1494,2018-05-06,5,"May",2018,6,"Sunday"
"25046",40350,"UIC-Halsted","06/01/2018","W",3299,2018-06-01,6,"Jun",2018,1,"Friday"
"25131",40350,"UIC-Halsted","06/29/2018","W",3668,2018-06-29,6,"Jun",2018,29,"Friday"
"25351",40350,"UIC-Halsted","06/26/2018","W",3805,2018-06-26,6,"Jun",2018,26,"Tuesday"
"25702",40350,"UIC-Halsted","06/18/2018","W",3424,2018-06-18,6,"Jun",2018,18,"Monday"
"25921",40350,"UIC-Halsted","05/17/2018","W",3311,2018-05-17,5,"May",2018,17,"Thursday"
"25990",40350,"UIC-Halsted","05/05/2018","A",2132,2018-05-05,5,"May",2018,5,"Saturday"
"26036",40350,"UIC-Halsted","04/18/2018","W",7326,2018-04-18,4,"Apr",2018,18,"Wednesday"
"26415",40350,"UIC-Halsted","06/16/2018","A",1666,2018-06-16,6,"Jun",2018,16,"Saturday"
"26439",40350,"UIC-Halsted","05/25/2018","W",3226,2018-05-25,5,"May",2018,25,"Friday"
"26702",40350,"UIC-Halsted","06/25/2018","W",3638,2018-06-25,6,"Jun",2018,25,"Monday"
"26800",40350,"UIC-Halsted","05/08/2018","W",5311,2018-05-08,5,"May",2018,8,"Tuesday"
"26806",40350,"UIC-Halsted","04/03/2018","W",6800,2018-04-03,4,"Apr",2018,3,"Tuesday"
"26813",40350,"UIC-Halsted","06/28/2018","W",3938,2018-06-28,6,"Jun",2018,28,"Thursday"
"26827",40350,"UIC-Halsted","05/03/2018","W",6718,2018-05-03,5,"May",2018,3,"Thursday"
"26932",40350,"UIC-Halsted","06/10/2018","U",1138,2018-06-10,6,"Jun",2018,10,"Sunday"
"27028",40350,"UIC-Halsted","05/22/2018","W",3446,2018-05-22,5,"May",2018,22,"Tuesday"
"27319",40350,"UIC-Halsted","04/02/2018","W",6749,2018-04-02,4,"Apr",2018,2,"Monday"
"27375",40350,"UIC-Halsted","05/30/2018","W",3237,2018-05-30,5,"May",2018,30,"Wednesday"
"27457",40350,"UIC-Halsted","04/23/2018","W",6887,2018-04-23,4,"Apr",2018,23,"Monday"
"27471",40350,"UIC-Halsted","04/17/2018","W",7098,2018-04-17,4,"Apr",2018,17,"Tuesday"
"27624",40350,"UIC-Halsted","04/01/2018","U",1075,2018-04-01,4,"Apr",2018,1,"Sunday"
"27634",40350,"UIC-Halsted","05/19/2018","A",1442,2018-05-19,5,"May",2018,19,"Saturday"
"27813",40350,"UIC-Halsted","04/10/2018","W",7105,2018-04-10,4,"Apr",2018,10,"Tuesday"
"27927",40350,"UIC-Halsted","04/13/2018","W",6840,2018-04-13,4,"Apr",2018,13,"Friday"
"28480",40350,"UIC-Halsted","05/28/2018","U",1048,2018-05-28,5,"May",2018,28,"Monday"
"28615",40350,"UIC-Halsted","04/30/2018","W",7057,2018-04-30,4,"Apr",2018,30,"Monday"
"28657",40350,"UIC-Halsted","04/27/2018","W",6748,2018-04-27,4,"Apr",2018,27,"Friday"
"28710",40350,"UIC-Halsted","05/26/2018","A",1570,2018-05-26,5,"May",2018,26,"Saturday"
"28715",40350,"UIC-Halsted","04/28/2018","A",2069,2018-04-28,4,"Apr",2018,28,"Saturday"
"28750",40350,"UIC-Halsted","06/17/2018","U",1271,2018-06-17,6,"Jun",2018,17,"Sunday"
"28792",40350,"UIC-Halsted","06/05/2018","W",3410,2018-06-05,6,"Jun",2018,5,"Tuesday"
"28869",40350,"UIC-Halsted","05/16/2018","W",3433,2018-05-16,5,"May",2018,16,"Wednesday"
"28897",40350,"UIC-Halsted","06/23/2018","A",1557,2018-06-23,6,"Jun",2018,23,"Saturday"
"29484",40350,"UIC-Halsted","06/13/2018","W",3612,2018-06-13,6,"Jun",2018,13,"Wednesday"
"29706",40350,"UIC-Halsted","05/23/2018","W",3428,2018-05-23,5,"May",2018,23,"Wednesday"
"30048",40350,"UIC-Halsted","05/15/2018","W",3609,2018-05-15,5,"May",2018,15,"Tuesday"
"30085",40350,"UIC-Halsted","05/24/2018","W",3557,2018-05-24,5,"May",2018,24,"Thursday"
"30178",40350,"UIC-Halsted","05/01/2018","W",7177,2018-05-01,5,"May",2018,1,"Tuesday"
"30210",40350,"UIC-Halsted","05/02/2018","W",7120,2018-05-02,5,"May",2018,2,"Wednesday"
"30259",40350,"UIC-Halsted","04/29/2018","U",1576,2018-04-29,4,"Apr",2018,29,"Sunday"
"31653",40350,"UIC-Halsted","07/01/2018","U",1074,2018-07-01,7,"Jul",2018,1,"Sunday"
"31654",40350,"UIC-Halsted","07/02/2018","W",3457,2018-07-02,7,"Jul",2018,2,"Monday"
"31655",40350,"UIC-Halsted","07/03/2018","W",3533,2018-07-03,7,"Jul",2018,3,"Tuesday"
"31656",40350,"UIC-Halsted","07/04/2018","U",1114,2018-07-04,7,"Jul",2018,4,"Wednesday"
"31657",40350,"UIC-Halsted","07/05/2018","W",3008,2018-07-05,7,"Jul",2018,5,"Thursday"
"31658",40350,"UIC-Halsted","07/06/2018","W",3140,2018-07-06,7,"Jul",2018,6,"Friday"
"31659",40350,"UIC-Halsted","07/07/2018","A",1529,2018-07-07,7,"Jul",2018,7,"Saturday"
"31660",40350,"UIC-Halsted","07/08/2018","U",1243,2018-07-08,7,"Jul",2018,8,"Sunday"
"31661",40350,"UIC-Halsted","07/09/2018","W",3706,2018-07-09,7,"Jul",2018,9,"Monday"
"31662",40350,"UIC-Halsted","07/10/2018","W",3836,2018-07-10,7,"Jul",2018,10,"Tuesday"
"31663",40350,"UIC-Halsted","07/11/2018","W",4058,2018-07-11,7,"Jul",2018,11,"Wednesday"
"31664",40350,"UIC-Halsted","07/12/2018","W",3990,2018-07-12,7,"Jul",2018,12,"Thursday"
"31665",40350,"UIC-Halsted","07/13/2018","W",3837,2018-07-13,7,"Jul",2018,13,"Friday"
"31666",40350,"UIC-Halsted","07/14/2018","A",1427,2018-07-14,7,"Jul",2018,14,"Saturday"
"31667",40350,"UIC-Halsted","07/15/2018","U",1325,2018-07-15,7,"Jul",2018,15,"Sunday"
"31668",40350,"UIC-Halsted","07/16/2018","W",3738,2018-07-16,7,"Jul",2018,16,"Monday"
"31669",40350,"UIC-Halsted","07/17/2018","W",3941,2018-07-17,7,"Jul",2018,17,"Tuesday"
"31670",40350,"UIC-Halsted","07/18/2018","W",3938,2018-07-18,7,"Jul",2018,18,"Wednesday"
"31671",40350,"UIC-Halsted","07/19/2018","W",3880,2018-07-19,7,"Jul",2018,19,"Thursday"
"31672",40350,"UIC-Halsted","07/20/2018","W",3665,2018-07-20,7,"Jul",2018,20,"Friday"
"31673",40350,"UIC-Halsted","07/21/2018","A",1534,2018-07-21,7,"Jul",2018,21,"Saturday"
"31674",40350,"UIC-Halsted","07/22/2018","U",1246,2018-07-22,7,"Jul",2018,22,"Sunday"
"31675",40350,"UIC-Halsted","07/23/2018","W",3846,2018-07-23,7,"Jul",2018,23,"Monday"
"31676",40350,"UIC-Halsted","07/24/2018","W",4065,2018-07-24,7,"Jul",2018,24,"Tuesday"
"31677",40350,"UIC-Halsted","07/25/2018","W",4179,2018-07-25,7,"Jul",2018,25,"Wednesday"
"31678",40350,"UIC-Halsted","07/26/2018","W",3977,2018-07-26,7,"Jul",2018,26,"Thursday"
"31679",40350,"UIC-Halsted","07/27/2018","W",3685,2018-07-27,7,"Jul",2018,27,"Friday"
"31680",40350,"UIC-Halsted","07/28/2018","A",1556,2018-07-28,7,"Jul",2018,28,"Saturday"
"31681",40350,"UIC-Halsted","07/29/2018","U",1266,2018-07-29,7,"Jul",2018,29,"Sunday"
"31682",40350,"UIC-Halsted","07/30/2018","W",3462,2018-07-30,7,"Jul",2018,30,"Monday"
"31683",40350,"UIC-Halsted","07/31/2018","W",3602,2018-07-31,7,"Jul",2018,31,"Tuesday"
"36127",40350,"UIC-Halsted","08/01/2018","W",3802,2018-08-01,8,"Aug",2018,1,"Wednesday"
"36128",40350,"UIC-Halsted","08/02/2018","W",3907,2018-08-02,8,"Aug",2018,2,"Thursday"
"36129",40350,"UIC-Halsted","08/03/2018","W",3571,2018-08-03,8,"Aug",2018,3,"Friday"
"36130",40350,"UIC-Halsted","08/04/2018","A",1588,2018-08-04,8,"Aug",2018,4,"Saturday"
"36131",40350,"UIC-Halsted","08/05/2018","U",1303,2018-08-05,8,"Aug",2018,5,"Sunday"
"36132",40350,"UIC-Halsted","08/06/2018","W",3270,2018-08-06,8,"Aug",2018,6,"Monday"
"36133",40350,"UIC-Halsted","08/07/2018","W",3311,2018-08-07,8,"Aug",2018,7,"Tuesday"
"36134",40350,"UIC-Halsted","08/08/2018","W",3452,2018-08-08,8,"Aug",2018,8,"Wednesday"
"36135",40350,"UIC-Halsted","08/09/2018","W",3377,2018-08-09,8,"Aug",2018,9,"Thursday"
"36136",40350,"UIC-Halsted","08/10/2018","W",3296,2018-08-10,8,"Aug",2018,10,"Friday"
"36137",40350,"UIC-Halsted","08/11/2018","A",1498,2018-08-11,8,"Aug",2018,11,"Saturday"
